UID         PID   PPID  C STIME TTY          TIME CMD
root          1      0  0  2019 ?        00:04:54 /usr/lib/systemd/systemd --switched-root --system --deserialize 21
root          2      0  0  2019 ?        00:00:00 [kthreadd]
root          3      2  0  2019 ?        00:00:15 [ksoftirqd/0]
root          5      2  0  2019 ?        00:00:00 [kworker/0:0H]
root          7      2  0  2019 ?        00:00:01 [migration/0]
root          8      2  0  2019 ?        00:00:00 [rcu_bh]
root          9      2  0  2019 ?        00:28:57 [rcu_sched]
root         10      2  0  2019 ?        00:00:00 [lru-add-drain]
root         11      2  0  2019 ?        00:00:12 [watchdog/0]
root         12      2  0  2019 ?        00:00:12 [watchdog/1]
root         13      2  0  2019 ?        00:00:01 [migration/1]
root         14      2  0  2019 ?        00:00:13 [ksoftirqd/1]
root         16      2  0  2019 ?        00:00:00 [kworker/1:0H]
root         17      2  0  2019 ?        00:00:10 [watchdog/2]
root         18      2  0  2019 ?        00:00:01 [migration/2]
root         19      2  0  2019 ?        00:00:12 [ksoftirqd/2]
root         21      2  0  2019 ?        00:00:00 [kworker/2:0H]
root         22      2  0  2019 ?        00:00:10 [watchdog/3]
root         23      2  0  2019 ?        00:00:02 [migration/3]
root         24      2  0  2019 ?        00:00:13 [ksoftirqd/3]
root         26      2  0  2019 ?        00:00:00 [kworker/3:0H]
root         27      2  0  2019 ?        00:00:10 [watchdog/4]
root         28      2  0  2019 ?        00:00:04 [migration/4]
root         29      2  0  2019 ?        00:00:11 [ksoftirqd/4]
root         31      2  0  2019 ?        00:00:00 [kworker/4:0H]
root         32      2  0  2019 ?        00:00:09 [watchdog/5]
root         33      2  0  2019 ?        00:00:04 [migration/5]
root         34      2  0  2019 ?        00:00:13 [ksoftirqd/5]
root         37      2  0  2019 ?        00:00:09 [watchdog/6]
root         38      2  0  2019 ?        00:00:04 [migration/6]
root         39      2  0  2019 ?        00:00:13 [ksoftirqd/6]
root         41      2  0  2019 ?        00:00:00 [kworker/6:0H]
root         42      2  0  2019 ?        00:00:09 [watchdog/7]
root         43      2  0  2019 ?        00:00:05 [migration/7]
root         44      2  0  2019 ?        00:00:15 [ksoftirqd/7]
root         46      2  0  2019 ?        00:00:00 [kworker/7:0H]
root         48      2  0  2019 ?        00:00:00 [kdevtmpfs]
root         49      2  0  2019 ?        00:00:00 [netns]
root         50      2  0  2019 ?        00:00:05 [khungtaskd]
root         51      2  0  2019 ?        00:00:00 [writeback]
root         52      2  0  2019 ?        00:00:00 [kintegrityd]
root         53      2  0  2019 ?        00:00:00 [bioset]
root         54      2  0  2019 ?        00:00:00 [kblockd]
root         55      2  0  2019 ?        00:00:00 [md]
root         56      2  0  2019 ?        00:00:00 [edac-poller]
root         65      2  0  2019 ?        00:00:18 [kswapd0]
root         66      2  0  2019 ?        00:00:00 [ksmd]
root         67      2  0  2019 ?        00:00:19 [khugepaged]
root         68      2  0  2019 ?        00:00:00 [crypto]
root         76      2  0  2019 ?        00:00:00 [kthrotld]
root         83      2  0  2019 ?        00:00:00 [kmpath_rdacd]
root         84      2  0  2019 ?        00:00:00 [kaluad]
root         85      2  0  2019 ?        00:00:00 [kpsmoused]
root         87      2  0  2019 ?        00:00:00 [ipv6_addrconf]
root        100      2  0  2019 ?        00:00:00 [deferwq]
root        132      2  0  2019 ?        00:00:03 [kauditd]
root        333      2  0  2019 ?        00:00:00 [ata_sff]
root        347      2  0  2019 ?        00:00:00 [scsi_eh_0]
